sampleID	measurement1	measurement2	measurement3
89	15100000000.0	9800000000.0	5660000000.0
90	11800000000.0	11800000000.0	9580000000.0
91	3540000000.0	10400000000.0	1540000000.0
92	6300000000.0	3850000000.0	2260000000.0
93	3610000000.0	4410000000.0	2670000000.0
94	2750000000.0	5970000000.0	2350000000.0
95	2250000000.0	12600000000.0	11000000000.0
96	4300000000.0	2800000000.0	2020000000.0
97	2780000000.0	2080000000.0	12600000000.0
98	8940000000.0	6260000000.0	11700000000.0
99	12000000000.0	9210000000.0	2170000000.0
100	7990000000.0	2660000000.0	10000000000.0
101	7950000000.0	2010000000.0	2800000000.0
102	5390000000.0	2540000000.0	3510000000.0
103	5810000000.0	3180000000.0	3460000000.0
104	15300000000.0	10900000000.0	4360000000.0
105	4538400000.0	20700000000.0	12400000000.0
106	3830000000.0	17400000000.0	8450000000.0
107	13000000000.0	9690000000.0	21500000000.0
108	8550000000.0	5030000000.0	12900000000.0
109	4630000000.0	7240000000.0	5050000000.0
110	841000000.0	9700000000.0	5410000000.0
111	8720000000.0	3470000000.0	3990000000.0
112	8580000000.0	4250000000.0	8790000000.0
113	3940000000.0	3800000000.0	4125900000.0
114	21800000000.0	12400000000.0	3810000000.0
115	18700000000.0	8810000000.0	13700000000.0
116	8960000000.0	20400000000.0	8720000000.0
117	5470000000.0	12900000000.0	9110000000.0
118	6830000000.0	4470000000.0	1030000000.0
119	9280000000.0	5280000000.0	8400000000.0
120	3140000000.0	3790000000.0	10600000000.0
121	5410000000.0	12500000000.0	4520000000.0
122	3840000000.0	3860000000.0	21500000000.0
123	12100000000.0	3070000000.0	21100000000.0
124	9770000000.0	14200000000.0	9020000000.0
125	14500000000.0	10100000000.0	6310000000.0
126	15300000000.0	7740000000.0	7670000000.0
127	5070000000.0	2030000000.0	11000000000.0
128	4930000000.0	7660000000.0	2250000000.0
129	4720000000.0	12800000000.0	9020000000.0
130	14700000000.0	5730000000.0	3280000000.0
